@Id;Admin Leve;Boundary;Hub Name;Id;Is In Muni;Is In Prov;Is In Town;Name;PT HubName;Type;Area neigh;Density N;Fid;Geometry;Hub Dist;Pop Neigh;PT HubDist
relation/5802291;7;administrative;SCBD;relation/5802291;Kembangan;DKI Jakarta;Jakarta Barat;Meruya Selatan;Komplek DPR RI III;boundary;2,8;14427,8571;161;Point;10,479191706;40398;0,881054538
relation/5802292;7;administrative;SCBD;relation/5802292;Kemayoran;DKI Jakarta;Jakarta Pusat;Sumur Batu;Cempaka Timur;boundary;1,15;25498,6945;162;Point;6,430337509;29323;0,559205423
relation/5802293;7;administrative;SCBD;relation/5802293;Kebayoran Lama;DKI Jakarta;Jakarta Selatan;Cipulir;Seskoal;boundary;1,93;25668,9084;163;Point;7,246674466;49541;0,157587538
relation/5802294;7;administrative;SCBD;relation/5802294;Mampang Prapatan;DKI Jakarta;Jakarta Selatan;Pela Mampang;Kantor Lurah Pulo;boundary;1,62;33021,8088;164;Point;5,180232864;53495;0,838741805
relation/5802295;7;administrative;SCBD;relation/5802295;Matraman;DKI Jakarta;Jakarta Timur;Kayu Manis;;boundary;0,58;54362,8472;165;Point;3,713310669;31530;0,572810562
relation/5802296;7;administrative;SCBD;relation/5802296;Setiabudi;DKI Jakarta;Jakarta Selatan;Guntur;;boundary;0,66;7080,6794;166;Point;0,723299413;4673;0,343466733
relation/5802297;7;administrative;SCBD;relation/5802297;Kembangan;DKI Jakarta;Jakarta Barat;Joglo;Ruko Puri Botanical Joglo Raya;boundary;4,86;10541,6752;167;Point;10,094543797;51233;0,143524929
relation/5802298;7;administrative;SCBD;relation/5802298;Kramat Jati;DKI Jakarta;Jakarta Timur;Kramat Jati;RS. Dik Pusdikes;boundary;1,52;28020,8471;168;Point;9,128591357;42592;0,301538932
relation/5802299;7;administrative;SCBD;relation/5802299;Kebayoran Baru;DKI Jakarta;Jakarta Selatan;Senayan;Halte Bus FWD;boundary;1,53;2232,5278;169;Point;3,305089025;3416;0,165933592
relation/5802300;7;administrative;SCBD;relation/5802300;Kebayoran Lama;DKI Jakarta;Jakarta Selatan;Pondok Pinang;Gedung Hijau Raya;boundary;6,84;10115,4971;170;Point;9,723967549;69190;0,297310262
